virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
HPV18	P06792	O60664	E5	Probable protein E5
HPV18	P06792	P49810	E5	Probable protein E5
HPV18	P06792	P62834	E5	Probable protein E5
HPV18	P06792	Q99584	E5	Probable protein E5
HPV18	P06792	P61619	E5	Probable protein E5
HPV18	P06792	P07093	E5	Probable protein E5
HPV18	P06792	Q9UJZ1	E5	Probable protein E5
HPV18	P06792	Q8TCJ2	E5	Probable protein E5
HPV18	P06792	Q03518	E5	Probable protein E5
HPV18	P06792	O15533	E5	Probable protein E5
HPV18	P06792	Q9Y5S1	E5	Probable protein E5
HPV18	P06792	Q9H1C4	E5	Probable protein E5
HPV18	P06792	P33897	E5	Probable protein E5
HPV18	P06792	P36542	E5	Probable protein E5
HPV18	P06792	P24539	E5	Probable protein E5
HPV18	P06792	P48047	E5	Probable protein E5
HPV18	P06792	P00403	E5	Probable protein E5
HPV18	P06792	P50416	E5	Probable protein E5
HPV18	P06792	O95864	E5	Probable protein E5
HPV18	P06792	P25445	E5	Probable protein E5
HPV18	P06792	P30519	E5	Probable protein E5
HPV18	P06792	Q7Z434	E5	Probable protein E5
HPV18	P06792	Q96N66	E5	Probable protein E5
HPV16	P06927	Q9UKV5	E5	Probable protein E5
HPV16	P06927	Q9HD20	E5	Probable protein E5
HPV16	P06927	P48047	E5	Probable protein E5
HPV16	P06927	O96005	E5	Probable protein E5
HPV16	P06927	O75477	E5	Probable protein E5
HPV16	P06927	Q8TCT9	E5	Probable protein E5
HPV16	P06927	Q969N2	E5	Probable protein E5
HPV16	P06927	Q99584	E5	Probable protein E5
HPV16	P06927	Q15858	E5	Probable protein E5
HPV16	P06927	Q8TCJ2	E5	Probable protein E5
HPV16	P06927	Q9HC07	E5	Probable protein E5
HPV16	P06927	Q9Y5S1	E5	Probable protein E5
HPV16	P03120	Q8N1B4	E2	Regulatory protein E2
HPV16	P03129	Q9NXH8	E7	Protein E7
HPV16	P03129	Q2M2I8	E7	Protein E7
HPV16	P03129	Q15329	E7	Protein E7
HPV16	P03129	Q9P0J7	E7	Protein E7
HPV16	P03129	Q16825	E7	Protein E7
HPV16	P03120	P41229	E2	Regulatory protein E2
HPV16	P03129	Q99729	E7	Protein E7
HPV16	P03129	P17936	E7	Protein E7
HPV16	P03129	Q9Y6Q5	E7	Protein E7
HPV16	P03129	Q9UNK0	E7	Protein E7
HPV18	P06788	Q9UBS4	E7	Protein E7
HPV18	P06788	P04632	E7	Protein E7
HPV16	P03126	Q8IYJ3	E6	Protein E6
HPV16	P03126	Q96EK4	E6	Protein E6
HPV18	P06463	P35250	E6	Protein E6
HPV18	P06463	Q96QZ7	E6	Protein E6
HPV18	P06463	P05549	E6	Protein E6
HPV18	P06790	P17676	E2	Regulatory protein E2
HPV18	P06790	P55209	E2	Regulatory protein E2
HPV16	P03126	O14907	E6	Protein E6
HPV16	P03129	Q14978	E7	Protein E7
HPV16	P03129	P28749	E7	Protein E7
HPV16	P03129	Q14188	E7	Protein E7
HPV18	P06463	Q01813	E6	Protein E6
HPV18	P06463	P63151	E6	Protein E6
HPV18	P06463	Q96L92	E6	Protein E6
HPV18	P06463	Q9BS26	E6	Protein E6
HPV18	P06463	Q9UBQ0	E6	Protein E6
HPV18	P06788	O15235	E7	Protein E7
HPV18	P06788	Q8N474	E7	Protein E7
HPV18	P06788	Q14186	E7	Protein E7
HPV18	P06792	O15427	E5	Probable protein E5
HPV18	P06792	Q9HBR0	E5	Probable protein E5
HPV18	P06792	P49755	E5	Probable protein E5
HPV18	P06792	Q92973	E5	Probable protein E5
HPV18	P06792	Q13443	E5	Probable protein E5
HPV18	P06792	P21964	E5	Probable protein E5
HPV18	P06792	Q6UVK1	E5	Probable protein E5
HPV18	P06792	P39656	E5	Probable protein E5
HPV18	P06792	Q15392	E5	Probable protein E5
HPV18	P06792	P25116	E5	Probable protein E5
HPV18	P06792	Q10472	E5	Probable protein E5
HPV18	P06792	P17302	E5	Probable protein E5
HPV16	P06927	Q96S66	E5	Probable protein E5
HPV16	P06927	P00403	E5	Probable protein E5
HPV16	P06927	P50416	E5	Probable protein E5
HPV16	P06927	O94905	E5	Probable protein E5
HPV16	P06927	P25116	E5	Probable protein E5
HPV16	P06927	Q7Z434	E5	Probable protein E5
HPV16	P06927	Q96N66	E5	Probable protein E5
HPV16	P06927	P07093	E5	Probable protein E5
HPV16	P06927	O15427	E5	Probable protein E5
HPV16	P06927	Q03518	E5	Probable protein E5
HPV16	P06927	O15533	E5	Probable protein E5
HPV16	P03129	P30281	E7	Protein E7
HPV16	P03129	P24864	E7	Protein E7
HPV16	P03129	P09543	E7	Protein E7
HPV16	P03129	Q15678	E7	Protein E7
HPV16	P03129	Q08999	E7	Protein E7
HPV16	P03129	Q9Y6N5	E7	Protein E7
HPV16	P03129	Q7Z7L7	E7	Protein E7
HPV16	P03129	P51784	E7	Protein E7
HPV16	P03129	Q9UBS4	E7	Protein E7
HPV16	P03129	Q96EY1	E7	Protein E7
HPV16	P03129	P05549	E7	Protein E7
HPV16	P03129	P04632	E7	Protein E7
HPV16	P03129	P25106	E7	Protein E7
HPV16	P03126	O75528	E6	Protein E6
HPV16	P03126	O14896	E6	Protein E6
HPV16	P03126	O95905	E6	Protein E6
HPV16	P03126	Q9Y2S7	E6	Protein E6
HPV16	P03126	Q9Y244	E6	Protein E6
HPV18	P06463	O00303	E6	Protein E6
HPV18	P06463	Q9NYY3	E6	Protein E6
HPV18	P06463	Q13158	E6	Protein E6
HPV16	P03120	Q92547	E2	Regulatory protein E2
HPV16	P03129	Q01094	E7	Protein E7
HPV18	P06790	Q92831	E2	Regulatory protein E2
HPV18	P06463	O95817	E6	Protein E6
HPV18	P06463	P12110	E6	Protein E6
HPV18	P06463	Q14393	E6	Protein E6
HPV18	P06788	Q14393	E7	Protein E7
HPV18	P06792	Q99623	E5	Probable protein E5
HPV18	P06792	Q13563	E5	Probable protein E5
HPV18	P06792	O00391	E5	Probable protein E5
HPV18	P06792	P11166	E5	Probable protein E5
HPV18	P06792	P04920	E5	Probable protein E5
HPV18	P06792	P46977	E5	Probable protein E5
HPV18	P06792	Q03519	E5	Probable protein E5
HPV18	P06792	Q9HBA0	E5	Probable protein E5
HPV18	P06792	Q12797	E5	Probable protein E5
HPV18	P06792	P23634	E5	Probable protein E5
HPV18	P06792	Q16891	E5	Probable protein E5
HPV18	P06792	Q6IAA8	E5	Probable protein E5
HPV16	P06927	P23634	E5	Probable protein E5
HPV16	P06927	Q6UVK1	E5	Probable protein E5
HPV16	P06927	P39656	E5	Probable protein E5
HPV16	P06927	Q15392	E5	Probable protein E5
HPV16	P06927	P17302	E5	Probable protein E5
HPV16	P06927	Q99623	E5	Probable protein E5
HPV16	P06927	Q6NZI2	E5	Probable protein E5
HPV16	P06927	O00767	E5	Probable protein E5
HPV16	P06927	P04920	E5	Probable protein E5
HPV16	P06927	Q9HBA0	E5	Probable protein E5
HPV16	P03129	Q14186	E7	Protein E7
HPV16	P03129	P26641	E7	Protein E7
HPV18	P06788	Q13362	E7	Protein E7
HPV16	P03126	O95551	E6	Protein E6
HPV16	P03126	Q9UBE0	E6	Protein E6
HPV18	P06463	Q14671	E6	Protein E6
HPV18	P06463	P36507	E6	Protein E6
HPV16	P03129	P05412	E7	Protein E7
HPV16	P03129	O15111	E7	Protein E7
HPV18	P06463	Q9UHD8	E6	Protein E6
HPV18	P06463	P31689	E6	Protein E6
HPV18	P06463	O00469	E6	Protein E6
HPV18	P06792	Q9NQC3	E5	Probable protein E5
HPV18	P06792	P16615	E5	Probable protein E5
HPV18	P06792	Q9Y653	E5	Probable protein E5
HPV18	P06792	Q92633	E5	Probable protein E5
HPV18	P06792	P50281	E5	Probable protein E5
HPV16	P06927	Q13563	E5	Probable protein E5
HPV16	P06927	P11166	E5	Probable protein E5
HPV16	P06927	P46977	E5	Probable protein E5
HPV16	P03129	P11802	E7	Protein E7
HPV16	P03120	Q96L91	E2	Regulatory protein E2
HPV18	P06463	Q9NQC7	E6	Protein E6
HPV18	P06788	P16144	E7	Protein E7
HPV18	P06788	P13667	E7	Protein E7
HPV16	P03126	P05549	E6	Protein E6
HPV16	P03126	Q14188	E6	Protein E6
HPV16	P03126	Q96QZ7	E6	Protein E6
HPV18	P06463	Q14160	E6	Protein E6
HPV18	P06463	P38936	E6	Protein E6
HPV16	P03129	P38936	E7	Protein E7
HPV16	P03126	Q13158	E6	Protein E6
HPV16	P03126	P19438	E6	Protein E6
HPV18	P06463	P55036	E6	Protein E6
HPV18	P06792	Q92508	E5	Probable protein E5
HPV18	P06792	Q01650	E5	Probable protein E5
HPV18	P06792	P27105	E5	Probable protein E5
HPV18	P06792	O15439	E5	Probable protein E5
HPV18	P06792	P04114	E5	Probable protein E5
HPV18	P06792	P10909	E5	Probable protein E5
HPV16	P06927	P16615	E5	Probable protein E5
HPV16	P06927	P50281	E5	Probable protein E5
HPV16	P06927	Q9NQC3	E5	Probable protein E5
HPV18	P06788	Q86WV6	E7	Protein E7
HPV16	P03129	Q9NRY4	E7	Protein E7
HPV16	P03126	P27635	E6	Protein E6
HPV16	P03126	Q15022	E6	Protein E6
HPV16	P03129	P67775	E7	Protein E7
HPV18	P06463	P16615	E6	Protein E6
HPV18	P06463	Q9Y678	E6	Protein E6
HPV18	P06463	P27816	E6	Protein E6
HPV18	P06788	P42677	E7	Protein E7
HPV18	P06792	Q8IV08	E5	Probable protein E5
HPV18	P06792	P04844	E5	Probable protein E5
HPV18	P06792	Q15758	E5	Probable protein E5
HPV18	P06792	Q03135	E5	Probable protein E5
HPV18	P06792	P53621	E5	Probable protein E5
HPV16	P06927	O15439	E5	Probable protein E5
HPV16	P06927	P04114	E5	Probable protein E5
HPV16	P06927	Q9NZM1	E5	Probable protein E5
HPV16	P06927	Q92508	E5	Probable protein E5
HPV16	P06927	P46778	E5	Probable protein E5
HPV16	P06927	P04844	E5	Probable protein E5
HPV16	P06927	Q01650	E5	Probable protein E5
HPV16	P06927	P27105	E5	Probable protein E5
HPV16	P03129	O95782	E7	Protein E7
HPV16	P03129	Q96CW1	E7	Protein E7
HPV16	P03129	Q00535	E7	Protein E7
HPV16	P03129	P16144	E7	Protein E7
HPV18	P06788	P29590	E7	Protein E7
HPV18	P06788	P06400	E7	Protein E7
HPV16	P03126	P18848	E6	Protein E6
HPV16	P03126	Q14671	E6	Protein E6
HPV18	P06463	Q13485	E6	Protein E6
HPV16	P03126	P01106	E6	Protein E6
