virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
HHV8	Q76RH3	Q5QP82	ORF38	Cytoplasmic envelopment protein 3
HHV8	Q76RH3	Q9BTE7	ORF38	Cytoplasmic envelopment protein 3
HHV8	E5LBT9	Q9UIL1	orf17	Capsid scaffolding protein
HHV8	Q76S40	Q66LE6	ORF2	dihydrofolate reductase
HHV8	Q76S40	Q96C92	ORF2	dihydrofolate reductase
HHV8	Q76S40	Q9H5V9	ORF2	dihydrofolate reductase
HHV8	Q76RH3	Q96MW5	ORF38	Cytoplasmic envelopment protein 3
HHV8	Q76RF7	Q96PD5	ORF60	ribonucleoside-diphosphate reductase
HHV8	F5HBQ9	O00330	ORF70	Thymidylate synthase
HHV8	F5HBQ9	P36957	ORF70	Thymidylate synthase
HHV8	F5HBQ9	Q4G0N4	ORF70	Thymidylate synthase
HHV8	F5HBQ9	Q9Y2Z0	ORF70	Thymidylate synthase
HHV8	Q76S40	O60678	ORF2	dihydrofolate reductase
HHV8	Q76RF7	Q9H4P4	ORF60	ribonucleoside-diphosphate reductase
HHV8	F5HBQ9	P08559	ORF70	Thymidylate synthase
HHV8	E5LBT9	O60684	orf17	Capsid scaffolding protein
HHV8	E5LBT9	Q9NZC7	orf17	Capsid scaffolding protein
HHV8	F5HBQ9	O94826	ORF70	Thymidylate synthase
HHV8	F5HBQ9	P10515	ORF70	Thymidylate synthase
HHV8	E5LBT9	P52294	orf17	Capsid scaffolding protein
HHV8	Q76S40	P63151	ORF2	dihydrofolate reductase
HHV8	Q76RH3	Q15172	ORF38	Cytoplasmic envelopment protein 3
HHV8	F5HBQ9	Q02218	ORF70	Thymidylate synthase
HHV8	Q76S40	Q13162	ORF2	dihydrofolate reductase
HHV8	Q76S40	P22234	ORF2	dihydrofolate reductase
HHV8	Q76RH3	Q7L1Q6	ORF38	Cytoplasmic envelopment protein 3
HHV8	F5HBQ9	P04818	ORF70	Thymidylate synthase
HHV8	Q76S40	Q07666	ORF2	dihydrofolate reductase
HHV8	Q76RH3	P50897	ORF38	Cytoplasmic envelopment protein 3
