?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P30050>	"Large ribosomal subunit protein uL11"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P25685>	"DnaJ homolog subfamily B member 1"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P27635>	"Large ribosomal subunit protein uL16"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
